path	ref_count	references
bots/__init__.py	1	scripts/generated/run___init__.sh
bots/auto_merge_v1.py	1	scripts/generated/run_auto_merge_v1.sh
bots/auto_plan_v1.py	1	scripts/generated/run_auto_plan_v1.sh
bots/auto_pr_v1.py	1	scripts/generated/run_auto_pr_v1.sh
bots/autoagent_execution_reporter_v1.py	1	scripts/generated/run_autoagent_execution_reporter_v1.sh
bots/autoagent_text_utils_v1.py	1	scripts/generated/run_autoagent_text_utils_v1.sh
bots/backfill_decisions_from_inbox_v1.py	1	scripts/generated/run_backfill_decisions_from_inbox_v1.sh
bots/browser_smoke.py	1	scripts/generated/run_browser_smoke.sh
bots/build_decision_patterns.py	2	scripts/self_learning_loop.sh|scripts/generated/run_build_decision_patterns.sh
bots/ceo_help_v1.py	2	scripts/tg_poll_loop.sh|scripts/generated/run_ceo_help_v1.sh
bots/ceo_hub_schema_v1.py	1	scripts/generated/run_ceo_hub_schema_v1.sh
bots/ceo_hub_sender_v1.py	2	scripts/tg_poll_loop.sh|scripts/generated/run_ceo_hub_sender_v1.sh
bots/ceo_noise_cleanup_v1.py	2	scripts/tg_poll_loop.sh|scripts/generated/run_ceo_noise_cleanup_v1.sh
bots/chat_research_v1.py	0	
bots/chat_router_daemon_v1.py	1	scripts/generated/run_chat_router_daemon_v1.sh
bots/chat_router_v1.py	2	scripts/launch_router.sh|scripts/generated/run_chat_router_v1.sh
bots/cluster_bias_refresh_v1.py	2	scripts/cluster_bias_refresh_loop.sh|scripts/run_cluster_bias_refresh_now.sh
bots/command_apply_daemon_v1.py	0	
bots/command_apply_v1.py	1	scripts/generated/run_command_apply_v1.sh
bots/company_dashboard_v1.py	2	scripts/tg_poll_loop.sh|scripts/generated/run_company_dashboard_v1.sh
bots/content_quality_gate_v1.py	1	scripts/generated/run_content_quality_gate_v1.sh
bots/conversation_artifact_reply_v1.py	2	bots/conversation_reply_persist_v1.py|scripts/generated/run_conversation_artifact_reply_v1.sh
bots/conversation_context_resolver_v1.py	3	scripts/test_telegram_os_job_create.sh|scripts/test_telegram_os_flow.sh|scripts/generated/run_conversation_context_resolver_v1.sh
bots/conversation_intent_router_v1.py	3	scripts/test_telegram_os_job_create.sh|scripts/test_telegram_os_flow.sh|scripts/generated/run_conversation_intent_router_v1.sh
bots/conversation_job_store_v1.py	2	scripts/test_telegram_os_job_create.sh|scripts/generated/run_conversation_job_store_v1.sh
bots/conversation_outbox_sender_v1.py	2	scripts/run_conversation_outbox_sender_v1.sh|scripts/generated/run_conversation_outbox_sender_v1.sh
bots/conversation_reply_persist_v1.py	4	scripts/run_conversation_reply_persist_v1.sh|scripts/run_telegram_os_creative_pipeline_v1.sh|scripts/run_lp_sales_pipeline.sh|scripts/generated/run_conversation_reply_persist_v1.sh
bots/conversation_reply_to_outbox_v1.py	4	scripts/run_conversation_reply_to_outbox_v1.sh|scripts/run_telegram_os_creative_pipeline_v1.sh|scripts/run_lp_sales_pipeline.sh|scripts/generated/run_conversation_reply_to_outbox_v1.sh
bots/creative_analysis_worker_v1.py	2	scripts/run_creative_analysis_worker_v1.sh|scripts/generated/run_creative_analysis_worker_v1.sh
bots/creative_analysis_worker_v2.py	3	scripts/run_creative_analysis_worker_v2.sh|scripts/run_telegram_os_creative_pipeline_v1.sh|scripts/generated/run_creative_analysis_worker_v2.sh
bots/cta_compare_worker_v1.py	3	scripts/run_cta_compare_worker_v1.sh|scripts/run_telegram_os_creative_pipeline_v1.sh|scripts/generated/run_cta_compare_worker_v1.sh
bots/daily_cycle_v1.py	1	scripts/generated/run_daily_cycle_v1.sh
bots/db_integrity_watchdog_v1.py	1	scripts/run_db_integrity_watchdog_v1.sh
bots/decider_feedback_learning_v1.py	3	scripts/cluster_bias_refresh_loop.sh|scripts/run_cluster_bias_refresh_now.sh|scripts/generated/run_decider_feedback_learning_v1.sh
bots/decider_threshold_advisor_v1.py	1	scripts/generated/run_decider_threshold_advisor_v1.sh
bots/decider_tuning_proposer_v1.py	1	scripts/generated/run_decider_tuning_proposer_v1.sh
bots/dev_approval_parser.py	1	scripts/generated/run_dev_approval_parser.sh
bots/dev_auto_execute_v1.py	2	scripts/dev_auto_execute_v1.sh|scripts/generated/run_dev_auto_execute_v1.sh
bots/dev_command_executor_v1.py	0	
bots/dev_executor_v1.py	3	bots/dev_auto_execute_v1.py|scripts/launch_executor.sh|scripts/generated/run_dev_executor_v1.sh
bots/dev_gatekeeper.py	1	scripts/generated/run_dev_gatekeeper.sh
bots/dev_guardrails_v1.py	1	scripts/generated/run_dev_guardrails_v1.sh
